Date,Source,Headline,Link,Content
"Dec 18, 2022 00:00", Investing.com,This 'Magnificent 7' stock is the only mega-cap company with 'positive fundamentals' - analysts,https://in.investing.com/news/pro/this-magnificent-7-stock-is-the-only-megacap-company-with-positive-fundamentals--analysts-432SI-3941837,"(Updated - December 18, 2022 6:19 AM EST)

Roth MKM analysts anticipate subdued internet tailwinds in the first half of 2024, citing the recovery of large/mid-cap multiples in the sector.

Internet companies benefited from triple tailwinds in 2022, including the comparison with Covid comps from 2022, favorable macroeconomic conditions in consumer discretionary spending, and industry-specific improvements to address privacy challenges.

Valuation multiples, particularly for mid- and large-cap firms, rebounded throughout 2022, reaching levels seen in early 2022. For 2024, the analysts expect a return to normalized growth, with e-commerce and online advertising showing healthy single-digit to low-teens percentage growth, while online travel may experience more restrained growth.

Quadrennial events such as the Summer Olympics and U.S. Presidential Elections could provide additional tailwinds.

Analysts raised the price target on Amazon (NASDAQ: ) shares by $15 to $180 per share. Amazon is their Mega Cap Pick for 2024, followed by Meta Platforms (NASDAQ: ) and Alphabet (NASDAQ: ).

“AMZN is the only mega cap where we model accelerating revenues AND expanding op. Margins,” the analysts said in a note.

“AMZN should demonstrate accelerating revenues and expanding operating margins in 2024 vs. 2022 levels. We believe consensus continues to underestimate potential FCF acceleration in 2024 and 2025 driven by a combo of improving fundamentals and declining CapEx.”

Amazon stock closed at $149.97 on Friday."
"Dec 18, 2022 00:00", Investing.com,"Amazon.com PT Raised to $180 at Roth/MKM, Named Top Mega Cap for 2024",https://in.investing.com/news/pro/amazon-com-inc-receives-investment-bank-analyst-rating-update-3941631,"An analyst from Roth/MKM maintained Amazon.com (NASDAQ: ) at 'buy' with a price target of $180.00 from a prior price target of %currency%%price%.

Prior to this rating, Amazon.com had 53 buy ratings, 1 hold ratings, and 0 sell ratings.

For consensus analyst estimates and price targets on Amazon.com, click here. For more news on Amazon.com, click here.

Amazon.com's stock price closed at $149.97. They are up 3.30% in the last month and up 76.60% in the last 12 months.

According to Investing Pro, Amazon.com's fair value is $166.30, an upside of 10.89%. Amazon.com's fair value comes with a medium degree of uncertainty, according to InvestingPro.

Check out Amazon.com's and financials here."
2022-12-15, IANS,US reaches H-1B visa cap for FY24,https://in.investing.com/news/us-reaches-h1b-visa-cap-for-fy24-3938991,"Washington, Dec 15 (IANS) The US Citizenship and Immigration Services (USCIS) said it has received a sufficient number of petitions to reach the congressionally-mandated cap for the most-coveted H-1B visa for the fiscal year 2024.This includes the 65,000 H-1B visa regular cap as well as the 20,000 H-1B visa US advanced degree exemption, commonly referred to as the master’s cap.

The non-immigrant work visa allows US employers to hire foreign workers with specialised skills to work in the country for a specific period of time.

In a statement on Wednesday, the USCIS said will send notices to registrants who were not selected for the visa programme, through their online accounts over the next few days.

However, the the federal agency said will continue to accept and process petitions exempt from the cap.

""Petitions filed for current H-1B workers who have been counted previously against the cap, and who still retain their cap number, are exempt from the FY 2024 H-1B cap,"" the USCIS said.

An estimated 75 per cent of the H-1B visa granted in a year are known to go to workers from India, hired by some of the largest US tech giant such as Amazon (NASDAQ: ), Microsoft (NASDAQ: ), Google (NASDAQ: ) and Facebook (NASDAQ: ) as well as IT services behemoths like Infosys (NS: ), TCS (NS: ) and Wipro (NS: ).

--IANS

mi/ksk"
2022-12-15, IANS,‘Project Kuiper’ internet satellites will operate like a mesh network: Amazon,https://in.investing.com/news/project-kuiper-internet-satellites-will-operate-like-a-mesh-network-amazon-3938858,"San Francisco, Dec 15 (IANS) Amazon (NASDAQ: )'s ‘Project Kuiper’ internet satellite system has completed successful tests of an optical mesh network in low-Earth orbit.

After demonstrating 100 Gbps optical links between its prototype satellites, Project Kuiper will include laser links on every satellite in its constellation to form a mesh network in space, the company said in a statement.

Kuiper is planning a constellation of 3,236 satellites in low Earth orbit and the US Federal Communications Commission requires Amazon to deploy at least half of that figure by 2026. Since the successful launch and deployment of two prototype satellites in October, Project Kuiper has been conducting extensive testing of its end-to-end communications payload and network.

Last month, the company confirmed it had validated all priority systems and subsystems within 30 days of launch. These tests validated the final component of Project Kuiper’s advanced communications architecture, and the results ensure that optical inter-satellite links (OISLs) will be operational on our first production satellites, slated for launch in the first half of 2024, Amazon said.

“With optical inter-satellite links across our satellite constellation, Project Kuiper will effectively operate as a mesh network in space,” said Rajeev Badyal, Project Kuiper's vice president of technology.

“We’re excited to be able to support these next-generation OISL capabilities on every Kuiper satellite from day one,” he added.

The company is equipping every Project Kuiper satellite with multiple optical terminals to connect many satellites at a time, establishing high-speed laser cross-links that form a secure, resilient mesh network in space. These capabilities increase throughout and reduce latency across our constellation, and provide more flexibility to connect Kuiper customers across land, sea, air, and space, according to Amazon.

Amazon’s OISL capabilities will allow Project Kuiper to move and land data anywhere via its mesh network in space, bringing secure, resilient connectivity to a wide range of enterprise and public sector customers.

“Amazon’s optical mesh network will provide multiple paths to route data through space, creating resiliency and redundancy for customers who need to securely transport information around the world,” said Ricky Freeman, vice president of Kuiper Government Solutions.

Project Kuiper is beginning satellite manufacturing ahead of a full-scale deployment that starts in the first half of 2024, and expects to have enough satellites deployed to begin early customer pilots in the second half of 2024.

--IANS

na/kvd"
2022-12-14, Investing.com,Amazon and 2 others named top internet picks at Piper,https://in.investing.com/news/pro/amazon-and-2-others-named-top-internet-picks-at-piper-432SI-3938639,"Piper Sandler updated its top picks across the internet sector following their comprehensive 2024 Ad Buyer and CIO Surveys. The firm has chosen Amazon.com (NASDAQ: ) as its top Large Cap pick, Pinterest (NYSE: ) for the Mid Cap category, and VIZIO (VZIO) as the leading Small Cap choice.

Survey insights offer a positive outlook

The 2024 Ad Buyer Survey revealed a promising scenario. Key takeaways include a positive shift in sentiment and an acceleration in total advertising spend for 2024. There's growing confidence among advertisers in navigating IDFA and privacy concerns, and advertisers are less concerned about recession. “Search & social share remain flat while Digital Video / CTV should gain share,” commented Piper Sandler.

The CIO survey indicated an improvement in enterprise IT spending, with database and infrastructure spending intentions notably rising. Amazon's AWS stands out as the only Cloud provider with an increase in spending intentions, a significant 2% rise from the first half of 2022.

Top picks

Amazon - top large-cap pick: Amazon is poised for significant growth. Retail margins have seen notable improvements, and the company's operating income could exceed current Street expectations in 2024. Furthermore, AWS spending is projected to accelerate, supported by findings from the CIO Survey. “Following both strong CIO and Ad Buyer surveys for next year, we are raising our '24 AWS revenue +1% and ads revenue +2%,” commented the analysts, raising their price target on the company to $185 from $170 while maintaining an Overweight rating.

Pinterest - Top SMID Cap Pick: Pinterest had a strong end to 2022, with the 'Direct Links' feature reducing outbound cost-per-click. Revenue growth is expected to continue at a robust pace, and the company has shown improved infrastructure efficiency with reduced AWS spending. Additionally, Pinterest has gained considerable market share in Digital Video, leading to an upward revision of its 2024 and 2025 revenue forecasts by Piper Sandler, which increased its price target to $44 from $40 while maintaining an Overweight rating.

Vizio - Top Small Cap Pick: “CTV remains a secular growth category & we see runway to take share from the $60BN+ US Linear market,” commented the analysts. Vizio's Platform+ margins are on the rise, and its Q3/23 Devices revenue indicates strong market share gains. Piper Sandler also noted potential in OEM partnership opportunities."
2022-12-14, Investing.com,Amazon.com PT Raised to $185 at Piper Sandler; Names Top Large Cap Pick,https://in.investing.com/news/pro/amazon-com-inc-receives-investment-bank-analyst-rating-update-3938025,"An analyst from Piper Sandler maintained Amazon.com (NASDAQ: ) at 'overweight' with a price target of $185.00 from a prior price target of %currency%%price%.

Prior to this rating, Amazon.com had 53 buy ratings, 1 hold ratings, and 0 sell ratings.

For consensus analyst estimates and price targets on Amazon.com, click here. For more news on Amazon.com, click here.

Amazon.com's stock price closed at $148.84. They are up 4.21% in the last month and up 68.28% in the last 12 months.

According to Investing Pro, Amazon.com's fair value is $166.10, an upside of 11.60%. Amazon.com's fair value comes with a medium degree of uncertainty, according to InvestingPro.

Check out Amazon.com's and financials here."
2022-12-12, IANS,Amazon's genAI 'Review Highlights' lets users make informed purchase decisions,https://in.investing.com/news/amazons-genai-review-highlights-lets-users-make-informed-purchase-decisions-3934370,"New Delhi, Dec 12 (IANS) Amazon (NASDAQ: ) on Tuesday launched a new feature -- AI-generated Review Highlights, that provides a short paragraph right on the product detail page highlighting the product features and customer sentiment frequently mentioned across written reviews.This feature will empower customers with enhanced product insights, enabling them to make informed purchase decisions with greater ease and confidence.

""The introduction of AI-generated Review Highlights marks a step forward in our efforts to empower customers with the information they need to make informed decisions,"" Kishore Thota, Director, Shopping Experience, India & Emerging Markets, Amazon, said in a statement.

By providing a snapshot of the common themes from reviews, the Review Highlights feature enables buyers to determine whether a product aligns with their needs and expectations before delving into detailed reviews.

The feature facilitates easy navigation to specific reviews that address particular product attributes. For instance, a customer interested in understanding the ease of use of a product can tap to see the number of positive and negative mentions for ""ease of use"" and representative reviews, the company said.

""Our ultimate goal is to simplify the review submission process, combat fake reviews, introduce new content types, and utilise AI to highlight key insights, ensuring that customers can confidently navigate their purchase decisions,"" Thota said.

--IANS

shs/rad"
2022-12-12, IANS,Allen appoints ex-Apple Marcom exec Apoorv Sharma as Chief Marketing Officer,https://in.investing.com/news/allen-appoints-exapple-marcom-exec-apoorv-sharma-as-chief-marketing-officer-3934079,"New Delhi, Dec 12 (IANS) Allen Career Institute on Tuesday announced the appointment of former Apple (NASDAQ: ) Marcom executive Apoorv Sharma as its Chief Marketing Officer (CMO).At Apple, Sharma was responsible for brand building, creative solutions, and product marketing for Apple’s iconic devices, wearables and services.

He will anchor Allen’s brand-building, marketing and PR efforts.

""As we aspire to build a world-class education company, it’s going to be about creating engagements that not only inform but also inspire and empower student communities to envision and achieve a brighter future,"" Sharma said in a statement.

Sharma has more than 18 years of experience spanning B2B & B2C domains across international geographies, with roles in product marketing, digital strategy, creative communications, partnerships, and business development.

He was previously associated with technology-first companies such as Amazon (NASDAQ: ), Flipkart, and DXC Technology (NYSE: ).

""Allen has earned tremendous brand equity with students and parents in its journey of more than three decades. I believe that Apoorv’s experience will help Allen transform into an education brand that combines Allen’s long-standing ethos and its new digital identity,"" said Nitin Kukreja, CEO of Allen Career Institute.

Sharma holds a dual MBA from IMT Ghaziabad & the France-based IESEG School of Management and a Bachelor’s degree in Computer Science.

Allen’s recent hires include Abha Maheshwari as Chief Executive Officer Digital from Meta (NASDAQ: ), Ankit Khurana as Chief Product Officer from Flipkart and Saurabh Tandon as Chief Technology Officer also from Flipkart.

Over the last six months, Allen has attracted top talent from leading global and Indian tech companies, such as Amazon, Google (NASDAQ: ), Meta, Flipkart, Samsung (KS: ), Twitter, and Apple.

--IANS

shs/ksk"
2022-12-11, IANS,"AWS India's interim head Vaishali Kasture quits, 2nd top exec to leave this year",https://in.investing.com/news/aws-indias-interim-head-vaishali-kasture-quits-2nd-top-exec-to-leave-this-year-3932426,"New Delhi, Dec 11 (IANS) Amazon (NASDAQ: ) Web Services (AWS) India and South Asia's interim country head for commercial business, Vaishali Kasture, has quit the company, the media report said on Monday. Kasture resigned from her role seven months after taking over from former president of commercial business Puneet Chandok, reports TechCrunch, citing sources.

Two country heads of AWS India have left less than a year after the company announced ambitious plans to invest $12.7 billion in building cloud infrastructure in the country by 2030 and contribute over $23 billion to the country's GDP by 2030.

Chandok unexpectedly left the company to take a prominent position at Microsoft (NASDAQ: ) India.

Kasture, who joined Amazon roughly five years ago, was appointed interim leader of commercial business for AWS India and South Asia in June. However, the reason for her departure is unknown.

Until two weeks ago, Kasture was positive about the growth prospects and momentum of AWS in India.

""Our total planned investments in India will be more than $16.4 billion or 1.36 lakh crore by 2030, and we expect this to contribute $23 billion to India’s GDP by then,"" Kasture wrote in a LinkedIn post.

""In addition to investments in infrastructure and services, we are also investing in people and skilling and AWS has trained over four million people in India through various education and training programmes,"" she added.

--IANS

shs/prw"
2022-12-15, IANS,US reaches H-1B visa cap for FY24,https://in.investing.com/news/us-reaches-h1b-visa-cap-for-fy24-3938991,"Washington, Dec 15 (IANS) The US Citizenship and Immigration Services (USCIS) said it has received a sufficient number of petitions to reach the congressionally-mandated cap for the most-coveted H-1B visa for the fiscal year 2024.This includes the 65,000 H-1B visa regular cap as well as the 20,000 H-1B visa US advanced degree exemption, commonly referred to as the master’s cap.

The non-immigrant work visa allows US employers to hire foreign workers with specialised skills to work in the country for a specific period of time.

In a statement on Wednesday, the USCIS said will send notices to registrants who were not selected for the visa programme, through their online accounts over the next few days.

However, the the federal agency said will continue to accept and process petitions exempt from the cap.

""Petitions filed for current H-1B workers who have been counted previously against the cap, and who still retain their cap number, are exempt from the FY 2024 H-1B cap,"" the USCIS said.

An estimated 75 per cent of the H-1B visa granted in a year are known to go to workers from India, hired by some of the largest US tech giant such as Amazon (NASDAQ: ), Microsoft (NASDAQ: ), Google (NASDAQ: ) and Facebook (NASDAQ: ) as well as IT services behemoths like Infosys (NS: ), TCS (NS: ) and Wipro (NS: ).

--IANS

mi/ksk"
