Date,Source,Headline,Link,Content
"Dec 18, 2022 00:00", Investing.com,"Netflix shares rally as Morgan Stanley ups price target, cites increasing confidence in return on content spending",https://in.investing.com/news/netflix-shares-rally-as-morgan-stanley-ups-price-target-cites-increasing-confidence-in-return-on-content-spending-432SI-3942451,"Netflix (NASDAQ: ) shares jumped more than 3% Monday after Morgan Stanley raised its price target for the stock to $550 from $475 per share.

NFLX shares are trading around the $488 mark at the time of writing.

Analysts at the investment bank cited the Overweight-rated company's ""attractive risk/reward,"" its increased confidence in Netflix's return on content spending, execution on growth initiatives, including paid sharing and advertising, and the pull-back in competitive intensity in broader Media.

Morgan Stanley also noted that Netflix has begun hedging currency, which it expects will lift earnings, although they note that the impact of FX moves will be delayed in reported results.

""We continue to see NFLX shares as offering an attractive risk/reward as we raise our estimates and PT to $550, which implies shares trade at 26x our 2025E EPS, as we continue to forecast a 25-30% EPS CAGR over the next four years,"" said the investment bank.

""Our earnings outlook has increased on the stronger USD since our October upgrade. There is a high 70-80% flow-through of FX moves to EBIT given the cost base of Netflix,"" they added.

Furthermore, Morgan Stanley said it is raising its net adds forecast for Netflix ""modestly"" in 2024 and beyond, as they see the combined benefits of original programming strength and competitive withdrawal benefiting member growth at Netflix.

The investment bank believes Netflix's ""unmatched scale"" and FCF generation opens up new opportunities for the business, noting that the streaming giant is two years into its gaming investments and ""the benefits of these investments have yet to be material but offer upside in the future."" At the same time, the company is also ""increasingly able to optimize its content spending with new options around licensing."""
"Dec 18, 2022 00:00", Investing.com,Morgan Stanley maintains Netflix at 'overweight' with a price target of $550.00,https://in.investing.com/news/pro/netflix-inc-receives-investment-bank-analyst-rating-update-3942403,"An analyst from Morgan Stanley maintained Netflix (NASDAQ: ) at 'overweight' with a price target of $550.00 from a prior price target of %currency%%price%.

Prior to this rating, Netflix had 28 buy ratings, 14 hold ratings, and 3 sell ratings.

For consensus analyst estimates and price targets on Netflix, click here. For more news on Netflix, click here.

Netflix's stock price closed at $472.06. They are down -0.51% in the last month and up 69.23% in the last 12 months.

According to Investing Pro, Netflix's fair value is $527.54, an upside of 9.06%. Netflix's fair value comes with a medium degree of uncertainty, according to InvestingPro.

Check out Netflix's and financials here."
2022-12-13, Investing.com,"Midday movers: Pfizer, Etsy, and more",https://in.investing.com/news/pfizer-southwest-tesla-fall-premarket-netflix-airbnb-rise-3936222,"(Updated - December 13, 2022 12:03 PM EST)

Investing.com -- Main U.S. indexes climbed ahead of the conclusion of the Federal Reserve’s final policy meeting of the year, where it is expected to leave rates unchanged. Focus will also be Fed Chair Jerome Powell’s comments after the policy announcement.

Here are some of the biggest U.S. stock movers today:

Netflix (NASDAQ: ) stock rose 2.2% after the streaming giant released viewership figures across its catalog, responding to criticism over its perceived lack of transparency over how its titles are consumed.

Pfizer (NYSE: ) stock slumped 8% after the drugmaker forecast 2024 revenue and profit below expectations, even as it raised cost-cut target by $500 million.

Southwest Airlines (NYSE: ) stock fell 5.7% after the budget airline raised its forecast for fourth-quarter fuel costs, even while expecting unit revenue for the quarter to improve to the higher end of its previous guidance range on the back of strong leisure demand.

Airbnb (ABNB) stock rose 0.25% after the vacation rental platform agreed to pay over $600 million to the Italian Revenue Agency to settle outstanding host income tax obligations for the 2017-2021 tax years.

Tesla (NASDAQ: ) stock fell 2.7% as the electric vehicle manufacturer is set to lose up to $7,500 federal tax credit for some Model 3 vehicles. It also filed a recall of 2 million vehicles to fix autopilot flaws.

Take-Two (NASDAQ: ) stock rose 3%, with the video-game maker set to be included in the , effective Dec 18, likely boosting demand from investors.

Ford (NYSE: ) stock fell 2.6% after BNP Paribas (OTC: ) downgraded its stance on the auto giant to ‘neutral’ from ‘outperform’, seeing relatively little upside from current levels.

Photronics (NASDAQ: ) stock rose 15.6% after the semiconductor photomask manufacturer beat quarterly expectations, with revenue up 8.2% year on year. It also expects next quarter's revenue to be around $221 million, in line with estimates.

Vertex Pharma (NASDAQ: ) climbed 10.3% following positive results from a phase 2 study of VX-548 for the treatment of painful diabetic peripheral neuropathy.

Etsy (NASDAQ: ) declined 5% after it announced a restructuring plan that includes an 11% reduction of its marketplace workforce. It also said consolidated Q4 GMS will decline 1%-2%

U.S. (X) climbed 4.7% after CNBC reported the company has multiple bids in excess of $40 per share. Its board is expected to meet today to consider the offers.

Additional reporting by Louis Juricic"
2022-12-12, Investing.com,Netflix : we will publish What We Watched: A Netflix Engagement Report twice a year,https://in.investing.com/news/assorted/netflix--we-will-publish-what-we-watched-a-netflix-engagement-report-twice-a-year-432SI-3935079,"Netflix (NASDAQ: ) announces:

Since launching our weekly Top 10 and Most Popular lists in 2021, Netflix has provided more information about what people are watching than any other streamer except YouTube. And now we believe it’s time to go further.

Starting today we will publish What We Watched: A Netflix Engagement Report twice a year. This is a comprehensive report of what people watched on Netflix over a six month period1, including:

Hours viewed for every title — original and licensed — watched for over 50,000 hours2;

The premiere date3 for any Netflix TV series or film; and

Whether a title was available globally.

In total, this report covers more than 18,000 titles — representing 99% of all viewing on Netflix — and nearly 100 billion hours viewed.

Over 60% of Netflix titles released between January and June 2022 appeared on our weekly Top 10 lists. So while this report is broader in scope, the trends reflected in it are very similar to those in the Top 10 lists, including:

The strength of returning favorites like Ginny & Georgia, Alice in Borderland, The Marked Heart, Outer Banks, You, Queen Charlotte: A Bridgerton Story, XO Kitty and film sequels Murder Mystery 2 and Extraction 2;

The popularity of new series like The Night Agent, The Diplomat, Beef, The Glory, Alpha Males, FUBAR and Fake Profile, which generate huge audiences and fandoms;

The size of the audience of our films across every genre including The Mother, Luther: The Fallen Sun, You People, AKA, ¡Que viva México! and Hunger;

The enthusiasm for non-English stories, which generated 30% of all viewing;

The staying power of titles on Netflix, which extends well beyond their premieres. All Quiet on the Western Front, for example, debuted in October 2022 and generated 80M hours viewed between January and June; and

The demand for older, licensed titles, which generates tremendous value for our members and for rights holders.

When reading the report it’s important to remember:

Success on Netflix comes in all shapes and sizes, and is not determined by hours viewed alone. We have enormously successful movies and TV shows with both lower and higher hours viewed. It’s all about whether a movie or TV show thrilled its audience — and the size of that audience relative to the economics of the title; and

To compare between titles it’s best to use our weekly Top 10 and Most Popular lists, which take into account run times and premiere dates.

This is a big step forward for Netflix and our industry. We believe the viewing information in this report — combined with our weekly Top 10 and Most Popular lists — will give creators and our industry deeper insights into our audiences, and what resonates with them.

Download the report here."
2022-12-13, Investing.com,"Midday movers: Pfizer, Etsy, and more",https://in.investing.com/news/pfizer-southwest-tesla-fall-premarket-netflix-airbnb-rise-3936222,"(Updated - December 13, 2022 12:03 PM EST)

Investing.com -- Main U.S. indexes climbed ahead of the conclusion of the Federal Reserve’s final policy meeting of the year, where it is expected to leave rates unchanged. Focus will also be Fed Chair Jerome Powell’s comments after the policy announcement.

Here are some of the biggest U.S. stock movers today:

Netflix (NASDAQ: ) stock rose 2.2% after the streaming giant released viewership figures across its catalog, responding to criticism over its perceived lack of transparency over how its titles are consumed.

Pfizer (NYSE: ) stock slumped 8% after the drugmaker forecast 2024 revenue and profit below expectations, even as it raised cost-cut target by $500 million.

Southwest Airlines (NYSE: ) stock fell 5.7% after the budget airline raised its forecast for fourth-quarter fuel costs, even while expecting unit revenue for the quarter to improve to the higher end of its previous guidance range on the back of strong leisure demand.

Airbnb (ABNB) stock rose 0.25% after the vacation rental platform agreed to pay over $600 million to the Italian Revenue Agency to settle outstanding host income tax obligations for the 2017-2021 tax years.

Tesla (NASDAQ: ) stock fell 2.7% as the electric vehicle manufacturer is set to lose up to $7,500 federal tax credit for some Model 3 vehicles. It also filed a recall of 2 million vehicles to fix autopilot flaws.

Take-Two (NASDAQ: ) stock rose 3%, with the video-game maker set to be included in the , effective Dec 18, likely boosting demand from investors.

Ford (NYSE: ) stock fell 2.6% after BNP Paribas (OTC: ) downgraded its stance on the auto giant to ‘neutral’ from ‘outperform’, seeing relatively little upside from current levels.

Photronics (NASDAQ: ) stock rose 15.6% after the semiconductor photomask manufacturer beat quarterly expectations, with revenue up 8.2% year on year. It also expects next quarter's revenue to be around $221 million, in line with estimates.

Vertex Pharma (NASDAQ: ) climbed 10.3% following positive results from a phase 2 study of VX-548 for the treatment of painful diabetic peripheral neuropathy.

Etsy (NASDAQ: ) declined 5% after it announced a restructuring plan that includes an 11% reduction of its marketplace workforce. It also said consolidated Q4 GMS will decline 1%-2%

U.S. (X) climbed 4.7% after CNBC reported the company has multiple bids in excess of $40 per share. Its board is expected to meet today to consider the offers.

Additional reporting by Louis Juricic"
2022-12-12, Investing.com,Netflix : we will publish What We Watched: A Netflix Engagement Report twice a year,https://in.investing.com/news/assorted/netflix--we-will-publish-what-we-watched-a-netflix-engagement-report-twice-a-year-432SI-3935079,"Netflix (NASDAQ: ) announces:

Since launching our weekly Top 10 and Most Popular lists in 2021, Netflix has provided more information about what people are watching than any other streamer except YouTube. And now we believe it’s time to go further.

Starting today we will publish What We Watched: A Netflix Engagement Report twice a year. This is a comprehensive report of what people watched on Netflix over a six month period1, including:

Hours viewed for every title — original and licensed — watched for over 50,000 hours2;

The premiere date3 for any Netflix TV series or film; and

Whether a title was available globally.

In total, this report covers more than 18,000 titles — representing 99% of all viewing on Netflix — and nearly 100 billion hours viewed.

Over 60% of Netflix titles released between January and June 2022 appeared on our weekly Top 10 lists. So while this report is broader in scope, the trends reflected in it are very similar to those in the Top 10 lists, including:

The strength of returning favorites like Ginny & Georgia, Alice in Borderland, The Marked Heart, Outer Banks, You, Queen Charlotte: A Bridgerton Story, XO Kitty and film sequels Murder Mystery 2 and Extraction 2;

The popularity of new series like The Night Agent, The Diplomat, Beef, The Glory, Alpha Males, FUBAR and Fake Profile, which generate huge audiences and fandoms;

The size of the audience of our films across every genre including The Mother, Luther: The Fallen Sun, You People, AKA, ¡Que viva México! and Hunger;

The enthusiasm for non-English stories, which generated 30% of all viewing;

The staying power of titles on Netflix, which extends well beyond their premieres. All Quiet on the Western Front, for example, debuted in October 2022 and generated 80M hours viewed between January and June; and

The demand for older, licensed titles, which generates tremendous value for our members and for rights holders.

When reading the report it’s important to remember:

Success on Netflix comes in all shapes and sizes, and is not determined by hours viewed alone. We have enormously successful movies and TV shows with both lower and higher hours viewed. It’s all about whether a movie or TV show thrilled its audience — and the size of that audience relative to the economics of the title; and

To compare between titles it’s best to use our weekly Top 10 and Most Popular lists, which take into account run times and premiere dates.

This is a big step forward for Netflix and our industry. We believe the viewing information in this report — combined with our weekly Top 10 and Most Popular lists — will give creators and our industry deeper insights into our audiences, and what resonates with them.

Download the report here."
2022-12-07, Investing.com,"Netflix Mentioned Positively at Evercore, 'we are more confident in our above-Street ’24 and ’25 EPS estimates'",https://in.investing.com/news/pro/netflix-inc-receives-investment-bank-analyst-rating-update-3929071,"An analyst from Evercore ISI maintained Netflix (NASDAQ: ) at 'outperform' with a price target of $500.00.

Prior to this rating, Netflix had 28 buy ratings, 14 hold ratings, and 3 sell ratings.

For consensus analyst estimates and price targets on Netflix, click here. For more news on Netflix, click here.

Netflix's stock price closed at $446.73. They are up 2.66% in the last month and up 45.23% in the last 12 months.

According to Investing Pro, Netflix's fair value is $525.71, an upside of 16.79%. Netflix's fair value comes with a medium degree of uncertainty, according to InvestingPro.

Check out Netflix's and financials here."
2022-12-06, IANS,TV executive Samir Shah named new BBC Chairman,https://in.investing.com/news/tv-executive-samir-shah-named-new-bbc-chairman-3927383,"London, Dec 6 (IANS) TV executive Samir Shah has been named as the government's choice for the new BBC Chairman, following Richard Sharp's resignation in April, media reports said.Shah, 71, previously held a series of roles at the BBC, including as its head of current affairs.

In a statement, he said he was ""delighted"" to have been named the government's preferred candidate, BBC reported.

Sharp resigned earlier this year after breaking rules over dealings with then Prime Minister Boris Johnson ahead of his appointment.

Professor Dame Elan Closs Stephens, a BBC board member, stepped in as acting Chairwoman following his exit.

Although the BBC is politically independent, its Chairperson is appointed by the government.

Culture Secretary Lucy Frazer said that Dr Shah had ""a wealth of experience to bring to the position"".

""He has a clear ambition to see the BBC succeed in a rapidly changing media landscape, and I have no doubt he will provide the support and scrutiny that the BBC needs to meet the challenges and opportunities of the future,"" she added.

Dr Shah said: ""The BBC is, without doubt, one of the greatest contributions we have made to global culture and one of our strongest calling cards on soft power.

""The BBC has a great place in British life and a unique duty to reach a wide audience right across the country and I will do all I can to ensure it fulfils this in an increasingly competitive market.""

As Chairman of the BBC's board, Dr Shah will be in charge of upholding and protecting the BBC's independence and ensuring the BBC fulfils its mission to inform, educate and entertain, BBC reported.

A BBC spokesperson said: ""We welcome the announcement that Samir Shah has been selected as the Government's preferred candidate to take up the role of BBC chair and look forward to him joining the Board once the formal process has been completed.""

His selection marks a sea change, as it means there will now be a journalist at the top of the BBC.

Shah has worked in TV for more than 40 years, starting at London Weekend Television in 1979, BBC reported.

Since then, he has held positions as the BBC's head of television current affairs, and later went on to head the corporation's political journalism across radio and television.

In 2007, he was appointed as a non-executive director on the BBC Board.

Shah is currently chief executive of Juniper, an independent production company, which supplies programmes to the BBC, as well as other organisations including Channel 4, Netflix (NASDAQ: ) and National Geographic, BBC reported.

--IANS

san/vd"
2022-12-06, Investing.com,"Fox Corp shares dip Tuesday as tech stocks rally, markets show marginal losses",https://in.investing.com/news/fox-corp-shares-dip-tuesday-as-tech-stocks-rally-markets-show-marginal-losses-93CH-3927141,"NEW YORK - Fox Corp.'s stock experienced a downturn on Tuesday, with shares falling 2.55% to close at $29.48. This decline stood in sharp contrast to the positive momentum seen in major tech companies, where Apple Inc (NASDAQ: ). saw a 2.11% increase to $193.42, and Amazon.com Inc (NASDAQ: ). rose by 1.41% to $146.88. Meanwhile, Netflix Inc. (NASDAQ: ) saw a modest uptick of 0.28%, ending the day at $455.15.

Despite the gains in the tech sector, broader market indices reflected a different story with both the S&P 500 and experiencing slight declines for the day, dropping 0.06% and 0.22% respectively.

The dip in Fox's share price marks a significant deviation from its February peak, now trailing by $7.78. Notably, the trading volume for Fox reached around 5 million shares, which is higher than its typical trading activity, indicating increased investor attention.

Tuesday's mixed market performance highlights the diverging fortunes of companies within different sectors, with tech stocks showing resilience even as some media companies like Fox Corp face headwinds.

InvestingPro Insights

As Fox Corp. navigates through a challenging market environment, key metrics from InvestingPro offer a deeper look into the company's financial health and potential. With a current Market Cap of approximately $13.76 billion and a P/E Ratio standing at 13.62, Fox presents an interesting case for investors. Notably, the company's P/E Ratio has adjusted to 8.3 over the last twelve months as of Q1 2024, which suggests a more favorable valuation in comparison to historical figures.

One of the standout InvestingPro Tips for Fox Corp. is the high earnings quality, with free cash flow exceeding net income, indicating a robust financial structure that can appeal to value-oriented investors. Additionally, the management's aggressive share buyback strategy has not gone unnoticed, potentially signaling confidence in the company's future prospects and a commitment to enhancing shareholder value.

InvestingPro data further reveals that Fox Corp. has a dividend yield of 1.76% as of the end of 2022, complemented by a 4.0% dividend growth over the last twelve months as of Q1 2024. This consistent return to shareholders, coupled with a history of raising its dividend for three consecutive years, may be particularly attractive to income-focused investors.

For those interested in a more comprehensive analysis, InvestingPro provides additional insights and tips. Currently, there are over ten additional InvestingPro Tips available for Fox Corp., which can be accessed through a subscription. Moreover, the InvestingPro subscription is now on a special Cyber Monday sale, offering a discount of up to 60%, with an additional 10% off a 2-year InvestingPro+ subscription using the coupon code sfy23.

This article was generated with the support of AI and reviewed by an editor. For more information see our T&C."
2022-12-06, IANS,Twitch plans to shut down in S.Korea over high network costs,https://in.investing.com/news/twitch-plans-to-shut-down-in-skorea-over-high-network-costs-3926238,"Seoul, Dec 6 (IANS) Twitch, a popular US-based live game streaming platform, said on Wednesday it plans to shut down its South Korean service in February next year due to high network usage fees in the country.In an announcement posted on its corporate blog, Twitch Interactive Inc. CEO Dan Clancy said the company ""made the difficult decision to shut down the Twitch business in Korea on February 27, 2024.""

Clancy said the cost to operate Twitch in South Korea was ""prohibitively expensive"" and said the company spent significant effort, such as adjusting the video quality on the service, to reduce business costs, reports Yonhap news agency.

""While we have lowered costs from these efforts, our network fees in Korea are still 10 times more expensive than in most other countries,"" Clancy said.

He stressed that Twitch has been operating at a significant loss and that the company sees ""no pathway forward for our business to run more sustainably"" in South Korea.

In November last year, the platform suspended its video-on-demand service in South Korea, seen as a protest against the country's controversial network usage fee.

The announcement marks that latest development in an ongoing controversy over network usage fees among global platforms, including Netflix (NASDAQ: ), in South Korea.

Local internet service providers have accused foreign services of causing traffic disruptions on their networks and demanded they pay added network usage costs.

South Korean online portal giant Naver Corp., meanwhile, started a closed beta test for its own upcoming game streaming platform for employees this week.

Naver plans to launch a public beta service of the platform, tentatively named Chzzk, on December 19 and officially release it next year.

The service will feature 1080p full high-definition streaming, along with a user interface suitable for game broadcasting and features such as community and sponsorship functionalities.

--IANS"
